No,Perguruan Tinggi,Peringkat,No. SK,Tahun SK,Wilayah,Tanggal Kadaluarsa,Status Kadaluarsa
2468,Sekolah Tinggi Akuntansi dan Manajemen Indonesia,Baik,1928/SK/BAN-PT/Ak/PT/XI/2022,2022,01,2027-11-22,Masih berlaku
1866,Sekolah Tinggi Alkitab Nusantara,Baik,966/SK/BAN-PT/Ak.Ppj/PT/XI/2023,2023,PTAS,2028-12-05,Masih berlaku
1112,Sekolah Tinggi Alkitab Penyebaran Injil (STAPIN) Majalengka,Baik,1386/SK/BAN-PT/Ak.Ppj/PT/VII/2024,2024,PTAS,2029-07-03,Masih berlaku
384,Sekolah Tinggi Alkitab Surabaya,Baik,2137/SK/BAN-PT/Ak.P/PT/XI/2024,2024,PTAS,2026-11-26,Masih berlaku
2956,Sekolah Tinggi Alkitab Tiranus Bandung,Baik,921/SK/BAN-PT/Ak.KP/PT/IX/2022,2022,PTAS,2025-06-23,61 hari lagi kedaluwarsa
1493,Sekolah Tinggi Analis Bakti Asih,Baik Sekali,315/SK/BAN-PT/Ak/PT/III/2024,2024,04,2029-03-20,Masih berlaku
1941,Sekolah Tinggi Analis Kimia Cilegon,Baik,824/SK/BAN-PT/Ak/PT/X/2023,2023,04,2028-10-31,Masih berlaku
1393,Sekolah Tinggi Arsitektur YKPN Yogyakarta,Baik,466/SK/BAN-PT/PEPA-Ppj/PT/IV/2024,2024,05,2029-04-10,Masih berlaku
823,Sekolah Tinggi Bahasa Asing Bina Dinamika Cianjur,Baik,1694/SK/BAN-PT/Ak/PT/VIII/2024,2024,04,2029-08-19,Masih berlaku
1486,Sekolah Tinggi Bahasa Asing Cipto Hadi Pranoto,Baik,287/SK/BAN-PT/Ak.P/PT/III/2024,2024,04,2026-03-20,Masih berlaku
2016,Sekolah Tinggi Bahasa Asing IEC Bekasi,Baik,674/SK/BAN-PT/Ak.Ppj/PT/IX/2023,2023,04,2028-10-10,Masih berlaku
1934,Sekolah Tinggi Bahasa Asing IEC Jakarta,Baik,844/SK/BAN-PT/Ak.Ppj/PT/X/2023,2023,03,2028-11-14,Masih berlaku
1746,Sekolah Tinggi Bahasa Asing JIA,Baik,1143/SK/BAN-PT/Ak/PT/XII/2023,2023,04,2028-12-12,Masih berlaku
3848,Sekolah Tinggi Bahasa Asing LIA Jakarta,Baik,1089/SK/BAN-PT/Akred/PT/XII/2020,2020,03,2025-12-15,Masih berlaku
3181,Sekolah Tinggi Bahasa Asing LIA Yogyakarta,B,160/SK/BAN-PT/Ak-PPJ/PT/IV/2022,2022,05,2027-05-10,Masih berlaku
652,Sekolah Tinggi Bahasa Asing Malang,Baik,1874/SK/BAN-PT/Ak.B/PT/X/2024,2024,07,2026-10-08,Masih berlaku
911,Sekolah Tinggi Bahasa Asing Mentari Kupang,Baik,1570/SK/BAN-PT/Ak.P/PT/VIII/2024,2024,15,2026-08-14,Masih berlaku
3843,Sekolah Tinggi Bahasa Asing Persada Bunda,Baik Sekali,1126/SK/BAN-PT/Akred/PT/XII/2020,2020,17,2025-12-16,Masih berlaku
3309,Sekolah Tinggi Bahasa Asing Pontianak,Baik,971/SK/BAN-PT/Akred/PT/XI/2021,2021,11,2026-11-09,Masih berlaku
3910,Sekolah Tinggi Bahasa Asing Prayoga,Baik,1055/SK/BAN-PT/Akred/PT/XII/2020,2020,10,2025-12-08,Masih berlaku
3933,Sekolah Tinggi Bahasa Asing Technocrat,Baik,1004/SK/BAN-PT/Akred/PT/XII/2020,2020,04,2025-12-01,Masih berlaku
2902,Sekolah Tinggi Bahasa Asing Yapari,Baik,1080/SK/BAN-PT/Ak.KP/PT/IX/2022,2022,04,2026-03-06,Masih berlaku
1106,Sekolah Tinggi Bahasa Harapan Bersama,Baik Sekali,1349/SK/BAN-PT/Ak/PT/VII/2024,2024,11,2029-07-15,Masih berlaku
3044,Sekolah Tinggi Bibelvrouw HKBP Laguboti,Baik,458/SK/BAN-PT/Ak/PT/VIII/2022,2022,PTAS,2027-08-23,Masih berlaku
3222,Sekolah Tinggi Bio Sains Swadiri,Baik,82/SK/BAN-PT/Akred/PT/II/2022,2022,14,2027-02-15,Masih berlaku
1883,Sekolah Tinggi Bisnis Runata,Baik,898/SK/BAN-PT/Ak/PT/XI/2023,2023,08,2028-11-14,Masih berlaku
3097,Sekolah Tinggi Bisnis dan Manajemen Dua Saudara,Baik,380/SK/BAN-PT/Ak/PT/VII/2022,2022,16,2027-07-20,Masih berlaku
3403,Sekolah Tinggi Desain Indonesia Bandung,Baik,749/SK/BAN-PT/Akred/PT/VIII/2021,2021,04,2026-08-18,Masih berlaku
2540,Sekolah Tinggi Desain Interstudi,Baik,1874/SK/BAN-PT/Ak.Ppj/PT/XI/2022,2022,03,2027-08-16,Masih berlaku
1697,Sekolah Tinggi Desain LaSalle,Baik,1235/SK/BAN-PT/PEPA-Ppj/PT/XII/2023,2023,03,2028-12-06,Masih berlaku
1518,Sekolah Tinggi Diakones HKBP Balige,B,260/SK/BAN-PT/Ak.Ppj/PT/III/2024,2024,PTAS,2029-04-03,Masih berlaku
1104,Sekolah Tinggi Dirasat Islamiyah Imam Syafi`i Jember,Baik,1382/SK/BAN-PT/Ak.Ppj/PT/VII/2024,2024,PTAS,2029-07-25,Masih berlaku
1251,Sekolah Tinggi Ekonomi  Manajemen Bisnis Islam (STEMBI) Bandung,Baik,1175/SK/BAN-PT/Ak/PT/VI/2024,2024,PTAS,2029-06-12,Masih berlaku
3045,Sekolah Tinggi Ekonomi Bisnis Islam Syari&#039;ah Bina Mandiri Cileungsu Bogor,Baik,462/SK/BAN-PT/Ak/PT/VIII/2022,2022,PTAS,2027-08-23,Masih berlaku
1588,Sekolah Tinggi Ekonomi Dan Bisnis Islam Al Rosyid Bojonegoro Jawa Timur,Baik,154/SK/BAN-PT/Ak/PT/II/2024,2024,PTAS,2029-02-27,Masih berlaku
3328,Sekolah Tinggi Ekonomi Dan Bisnis Islam Darussalam Ogan Komering Ilir Sumsel,Baik,934/SK/BAN-PT/Akred/PT/X/2021,2021,PTAS,2026-10-26,Masih berlaku
481,Sekolah Tinggi Ekonomi Islam (STEI) Darul Qur&#039;an Minak Selebah,Baik,2068/SK/BAN-PT/Ak.P/PT/XI/2024,2024,PTAS,2026-11-12,Masih berlaku
1837,Sekolah Tinggi Ekonomi Islam (STEI) Hamfara Yogyakarta,Baik,1035/SK/BAN-PT/Ak.Ppj/PT/XI/2023,2023,PTAS,2028-12-13,Masih berlaku
2655,Sekolah Tinggi Ekonomi Islam (STEI) LPPM,Baik,1582/SK/BAN-PT/Ak/PT/X/2022,2022,PTAS,2027-10-04,Masih berlaku
977,Sekolah Tinggi Ekonomi Islam Al Furqon Prabumulih Sumatera Selatan,Baik,1476/SK/BAN-PT/Ak/PT/VIII/2024,2024,PTAS,2029-08-13,Masih berlaku
1808,Sekolah Tinggi Ekonomi Islam Ar-Risalah Sumatera Barat,Baik,1008/SK/BAN-PT/Ak/PT/XI/2023,2023,PTAS,2028-11-28,Masih berlaku
741,Sekolah Tinggi Ekonomi Islam Bina Muda Bandung,Baik,1769/SK/BAN-PT/Ak.P/PT/IX/2024,2024,PTAS,2026-09-10,Masih berlaku
