No,Perguruan Tinggi,Peringkat,No. SK,Tahun SK,Wilayah,Tanggal Kadaluarsa,Status Kadaluarsa
704,Sekolah Tinggi Teologi Presbyterian Medan,Baik,1813/SK/BAN-PT/Ak.P/PT/IX/2024,2024,PTAS,2026-09-24,Masih berlaku
722,Sekolah Tinggi Teologi Presbyterian Shema,Baik,1792/SK/BAN-PT/Ak.P/PT/IX/2024,2024,PTAS,2026-09-17,Masih berlaku
3387,Sekolah Tinggi Teologi Rahmat Emmanuel Jakarta,Baik,788/SK/BAN-PT/Akred/PT/VIII/2021,2021,PTAS,2026-08-31,Masih berlaku
267,Sekolah Tinggi Teologi Rajawali Arastamar Indonesia Batam,Baik,2245/SK/BAN-PT/Ak/PT/XII/2024,2024,PTAS,2029-12-15,Masih berlaku
3409,Sekolah Tinggi Teologi Real Batam,Baik,734/SK/BAN-PT/Akred/PT/VIII/2021,2021,PTAS,2026-08-10,Masih berlaku
2099,Sekolah Tinggi Teologi Reformed Indonesia,Baik,527/SK/BAN-PT/Ak.Ppj/PT/VIII/2023,2023,PTAS,2028-08-17,Masih berlaku
1579,Sekolah Tinggi Teologi Reformed Injili Internasional,Baik,220/SK/BAN-PT/Ak.Ppj/PT/III/2024,2024,PTAS,2029-03-20,Masih berlaku
1323,Sekolah Tinggi Teologi Reformed Injili Lumbantor,Baik,1080/SK/BAN-PT/Ak/PT/V/2024,2024,PTAS,2029-05-21,Masih berlaku
2871,Sekolah Tinggi Teologi Renatus Pematang Siantar,Baik,1390/SK/BAN-PT/Ak.KP/PT/IX/2022,2022,PTAS,2025-07-05,73 hari lagi kedaluwarsa
762,Sekolah Tinggi Teologi Russel Timika,Baik,1729/SK/BAN-PT/Ak/PT/IX/2024,2024,PTAS,2029-09-03,Masih berlaku
3450,Sekolah Tinggi Teologi SAAT,B,659/SK/BAN-PT/Ak-PPJ/PT/VII/2021,2021,PTAS,2025-07-05,73 hari lagi kedaluwarsa
1111,Sekolah Tinggi Teologi SAPPI Ciranjang,Baik,1387/SK/BAN-PT/Ak.Ppj/PT/VII/2024,2024,PTAS,2029-05-15,Masih berlaku
259,Sekolah Tinggi Teologi Sabda Agung (STTSA),Baik,2261/SK/BAN-PT/Ak/PT/XII/2024,2024,PTAS,2029-12-15,Masih berlaku
3012,Sekolah Tinggi Teologi Saint Paul Bandung,Baik,631/SK/BAN-PT/Ak/PT/IX/2022,2022,PTAS,2027-09-06,Masih berlaku
3392,Sekolah Tinggi Teologi Salem,Tidak Terakreditasi,776/SK/BAN-PT/Ak-TMSP/PT/VIII/2021,2021,PTAS,,Masih berlaku
2851,Sekolah Tinggi Teologi Sangkakala,Baik,1170/SK/BAN-PT/Ak.KP/PT/IX/2022,2022,PTAS,2025-07-11,79 hari lagi kedaluwarsa
1902,Sekolah Tinggi Teologi Satyabhakti,Baik,865/SK/BAN-PT/Ak/PT/XI/2023,2023,PTAS,2028-11-07,Masih berlaku
345,Sekolah Tinggi Teologi Siloam Medan,Baik,2164/SK/BAN-PT/Ak/PT/XII/2024,2024,PTAS,2029-12-02,Masih berlaku
1578,Sekolah Tinggi Teologi Simpson Ungaran,Baik,221/SK/BAN-PT/Ak.Ppj/PT/III/2024,2024,PTAS,2029-03-20,Masih berlaku
817,Sekolah Tinggi Teologi Sola Gratia Indonesia,Baik,1676/SK/BAN-PT/Ak.P/PT/VIII/2024,2024,PTAS,2026-08-19,Masih berlaku
2759,Sekolah Tinggi Teologi Soteria Purwokerto,Baik,1209/SK/BAN-PT/Ak.KP/PT/IX/2022,2022,PTAS,2026-12-28,Masih berlaku
3324,Sekolah Tinggi Teologi Sumatera Utara,Baik,944/SK/BAN-PT/Akred/PT/X/2021,2021,PTAS,2026-10-27,Masih berlaku
412,Sekolah Tinggi Teologi Sunergeo Banten,Baik,2114/SK/BAN-PT/Ak.P/PT/XI/2024,2024,PTAS,2026-11-19,Masih berlaku
4043,Sekolah Tinggi Teologi Sunsugos Jakarta,Baik,552/SK/BAN-PT/Ak-PKP/PT/VIII/2020,2020,PTAS,2025-08-04,103 hari lagi kedaluwarsa
204,Sekolah Tinggi Teologi Syalom Bandar Lampung,Baik,53/SK/BAN-PT/Ak.B/PT/II/2025,2025,PTAS,2027-02-05,Masih berlaku
2698,Sekolah Tinggi Teologi Tabernakel Indonesia,Baik,1101/SK/BAN-PT/Ak.KP/PT/IX/2022,2022,PTAS,2025-10-04,164 hari lagi kedaluwarsa
385,Sekolah Tinggi Teologi Tabernakel Lawang,Baik,2138/SK/BAN-PT/Ak.P/PT/XI/2024,2024,PTAS,2026-11-26,Masih berlaku
678,Sekolah Tinggi Teologi Tabgha Batam,Baik,1837/SK/BAN-PT/Ak.P/PT/X/2024,2024,PTAS,2026-10-03,Masih berlaku
2534,Sekolah Tinggi Teologi Tawangmangu,Baik,1871/SK/BAN-PT/Ak.Ppj/PT/XI/2022,2022,PTAS,2027-08-16,Masih berlaku
73,Sekolah Tinggi Teologi Tenggarong,Baik,2097/SK/BAN-PT/Ak.P/PT/III/2025,2025,PTAS,2027-03-25,Masih berlaku
3326,Sekolah Tinggi Teologi Tiberias Jakarta,Baik,936/SK/BAN-PT/Akred/PT/X/2021,2021,PTAS,2026-10-26,Masih berlaku
2145,Sekolah Tinggi Teologi Torsina,Baik,459/SK/BAN-PT/Ak.Ppj/PT/VII/2023,2023,PTAS,2028-07-18,Masih berlaku
2550,Sekolah Tinggi Teologi Transformasi Indonesia,Tidak Terakreditasi,1804/SK/BAN-PT/Ak-TMSP/PT/XI/2022,2022,PTAS,,Masih berlaku
476,Sekolah Tinggi Teologi Walter Post Jayapura Papua,Baik,2082/SK/BAN-PT/Ak.P/PT/XI/2024,2024,PTAS,2026-11-12,Masih berlaku
1940,Sekolah Tinggi Teologi Wesley Methodist Indonesia,Baik,833/SK/BAN-PT/Ak.Ppj/PT/X/2023,2023,PTAS,2028-11-14,Masih berlaku
410,Sekolah Tinggi Teologi Willfingger Kampung Baru,Baik,2116/SK/BAN-PT/Ak.P/PT/XI/2024,2024,PTAS,2026-11-19,Masih berlaku
396,Sekolah Tinggi Teologi William Carey Medan,Baik,2151/SK/BAN-PT/Ak.B/PT/XI/2024,2024,PTAS,2026-11-26,Masih berlaku
503,Sekolah Tinggi Teologi Yerusalem Baru Manado,Baik,2003/SK/BAN-PT/Ak/PT/XI/2024,2024,PTAS,2029-11-05,Masih berlaku
1249,Sekolah Tinggi Teologi Yusuf Makai Nabire,Baik,1178/SK/BAN-PT/Ak.P/PT/VI/2024,2024,PTAS,2026-06-19,Masih berlaku
416,Sekolah Tinggi Teologi dan Entrepreneurship Pringgading,Baik,2108/SK/BAN-PT/Ak/PT/XI/2024,2024,PTAS,2029-11-19,Masih berlaku
3371,Sekolah Tinggi Theologia Injili Indonesia Lombok,Tidak Terakreditasi,820/SK/BAN-PT/Ak-TMSP/PT/IX/2021,2021,PTAS,,Masih berlaku
479,Sekolah Tinggi Theologia Injili Indonesia Pontianak,Baik,2079/SK/BAN-PT/Ak.P/PT/XI/2024,2024,PTAS,2026-11-12,Masih berlaku
3368,Sekolah Tinggi Theologia Nazarene Indonesia,Baik,835/SK/BAN-PT/Akred/PT/IX/2021,2021,PTAS,2026-09-15,Masih berlaku
866,Sekolah Tinggi llmu Ekonomi Pangeran Antasari,Baik,1628/SK/BAN-PT/Ak.P/PT/VIII/2024,2024,01,2026-08-18,Masih berlaku
3951,Stba Persahabatan Internasional Asia,Baik,980/SK/BAN-PT/Akred/PT/XI/2020,2020,01,2025-11-24,Masih berlaku
3119,Universitas  Mahkota Tricom Unggul,Baik,327/SK/BAN-PT/Ak-PNB/PT/VII/2022,2022,01,2025-10-04,164 hari lagi kedaluwarsa
62,Universitas  Muhammadiyah Kuningan,Baik Sekali,2120/SK/BAN-PT/Ak-PNB/PT/IV/2025,2025,04,2028-10-31,Masih berlaku
1439,Universitas &#039;Aisyiyah Bandung,B,377/SK/BAN-PT/Ak.Ppj/PT/IV/2024,2024,04,2029-04-10,Masih berlaku
3169,Universitas &#039;Aisyiyah Surakarta,Baik Sekali,1128/SK/BAN-PT/Akred-PMT/PT/XII/2021,2021,06,2026-12-29,Masih berlaku
1802,Universitas 17 Agustus 1945 Banyuwangi,Baik Sekali,988/SK/BAN-PT/Ak.KP/PT/XI/2023,2023,07,2027-09-13,Masih berlaku
30,Universitas 17 Agustus 1945 Cirebon,B,2135/SK/BAN-PT/Ak.Ppj/PT/IV/2025,2025,04,2030-04-20,Masih berlaku
3959,Universitas 17 Agustus 1945 Jakarta,Baik Sekali,949/SK/BAN-PT/Akred/PT/XI/2020,2020,03,2025-11-17,Masih berlaku
669,Universitas 17 Agustus 1945 Samarinda,Baik Sekali,1842/SK/BAN-PT/Ak.KP/PT/X/2024,2024,11,2028-10-10,Masih berlaku
2257,Universitas 17 Agustus 1945 Semarang,Baik Sekali,281/SK/BAN-PT/Ak.KP/PT/IV/2023,2023,06,2027-08-16,Masih berlaku
1731,Universitas 17 Agustus 1945 Surabaya,Unggul,1165/SK/BAN-PT/Ak.Ppj/PT/XII/2023,2023,07,2028-12-29,Masih berlaku
1710,Universitas 45 Mataram,Baik,1184/SK/BAN-PT/Ak.Ppj/PT/XII/2023,2023,08,2028-12-29,Masih berlaku
592,Universitas 45 Surabaya,Baik,1923/SK/BAN-PT/Ak/PT/X/2024,2024,07,2029-10-15,Masih berlaku
1942,Universitas ASA Indonesia,Baik Sekali,813/SK/BAN-PT/Ak-PNB/PT/X/2023,2023,03,2027-09-26,Masih berlaku
1126,Universitas Abdul Azis Lamadjido,Baik,1354/SK/BAN-PT/Ak.P/PT/VII/2024,2024,16,2026-07-15,Masih berlaku
4046,Universitas Abdurachman Saleh,B,492/SK/BAN-PT/Ak-PPJ/PT/VII/2020,2020,07,2025-07-11,79 hari lagi kedaluwarsa
3186,Universitas Abdurachman Saleh Situbondo,B,153/SK/BAN-PT/Ak-PNB/PT/IV/2022,2022,07,2025-07-11,79 hari lagi kedaluwarsa
3820,Universitas Abdurrab,Baik Sekali,1143/SK/BAN-PT/Akred/PT/XII/2020,2020,17,2025-12-22,Masih berlaku
2292,Universitas Abulyatama,B,234/SK/BAN-PT/Ak.Ppj/PT/III/2023,2023,13,2027-10-11,Masih berlaku
546,Universitas Achmad Yani Banjarmasin,B,1969/SK/BAN-PT/Ak.Ppj/PT/X/2024,2024,11,2029-08-21,Masih berlaku
1573,Universitas Adhirajasa Reswara Sanjaya,B,199/SK/BAN-PT/Ak.Ppj/PT/III/2024,2024,04,2029-03-14,Masih berlaku
2114,Universitas Adiwangsa Jambi,Baik Sekali,493/SK/BAN-PT/Ak/PT/VII/2023,2023,10,2028-07-25,Masih berlaku
1787,Universitas Advent Indonesia,B,1097/SK/BAN-PT/Ak.Ppj/PT/XII/2023,2023,04,2028-12-20,Masih berlaku
1543,Universitas Adzkia,B,200/SK/BAN-PT/Ak.Ppj/PT/III/2024,2024,10,2029-03-13,Masih berlaku
3130,Universitas Agung Podomoro,Baik Sekali,295/SK/BAN-PT/Akred/PT/VI/2022,2022,03,2027-06-28,Masih berlaku
2189,Universitas Ahmad Dahlan,Unggul,393/SK/BAN-PT/Ak.KP/PT/V/2023,2023,05,2027-10-11,Masih berlaku
1825,Universitas Airlangga,Unggul,1017/SK/BAN-PT/Ak.Ppj/PT/XI/2023,2023,PTN,2028-12-13,Masih berlaku
2009,Universitas Aisyah Pringsewu,Baik Sekali,689/SK/BAN-PT/Ak/PT/X/2023,2023,02,2028-10-03,Masih berlaku
1650,Universitas Aisyiyah Yogyakarta,Unggul,8/SK/BAN-PT/Ak/PT/I/2024,2024,05,2029-01-16,Masih berlaku
1561,Universitas Aki,Baik Sekali,192/SK/BAN-PT/Ak.Ppj/PT/III/2024,2024,06,2029-03-20,Masih berlaku
209,Universitas Akprind Indonesia,Baik Sekali,44/SK/BAN-PT/Ak.Ppj/PT/II/2025,2025,05,2029-11-27,Masih berlaku
341,Universitas Al Asyariah Mandar,Baik Sekali,2182/SK/BAN-PT/Ak.KP/PT/XII/2024,2024,09,2028-12-20,Masih berlaku
810,Universitas Al Hikmah Jepara,Baik,1690/SK/BAN-PT/Ak/PT/VIII/2024,2024,06,2029-08-19,Masih berlaku
3613,Universitas Al Washliyah,Baik,371/SK/BAN-PT/Akred/PT/IV/2021,2021,01,2026-04-27,Masih berlaku
677,Universitas Al Washliyah Darussalam Banda Aceh,Baik,1850/SK/BAN-PT/Ak-PNB/PT/X/2024,2024,13,2026-06-26,Masih berlaku
193,Universitas Al-Amien Prenduan,Baik,65/SK/BAN-PT/Ak-PNB/PT/II/2025,2025,PTAS,2026-07-15,Masih berlaku
1440,Universitas Al-Azhar,Baik,391/SK/BAN-PT/Ak.Ppj/PT/IV/2024,2024,01,2029-04-10,Masih berlaku
1118,Universitas Al-Falah As-Sunniyah,Baik,1381/SK/BAN-PT/Ak-PNB/PT/VII/2024,2024,PTAS,2026-08-18,Masih berlaku
457,Universitas Al-Hikmah Indonesia,Baik,2096/SK/BAN-PT/Ak-PNB/PT/XI/2024,2024,PTAS,2027-08-02,Masih berlaku
2305,Universitas Al-Irsyad Cilacap,Baik,209/SK/BAN-PT/Ak-PNB/PT/III/2023,2023,06,2025-11-10,Masih berlaku
2854,Universitas Al-Khairiyah,Baik,1245/SK/BAN-PT/Ak.KP/PT/IX/2022,2022,04,2025-07-05,73 hari lagi kedaluwarsa
110,Universitas Al-Muslim,Baik Sekali,2053/SK/BAN-PT/Ak.KP/PT/III/2025,2025,13,2027-08-16,Masih berlaku
780,Universitas Al-Qolam Malang,Baik,1725/SK/BAN-PT/Ak-PNB/PT/VIII/2024,2024,PTAS,2026-07-27,Masih berlaku
1267,Universitas Al-azhar Indonesia,Unggul,1152/SK/BAN-PT/Ak/PT/VI/2024,2024,03,2029-06-04,Masih berlaku
3657,Universitas Al-ghifari,Baik,309/SK/BAN-PT/Akred/PT/IV/2021,2021,04,2026-04-13,Masih berlaku
3742,Universitas Alkhairaat,Baik,142/SK/BAN-PT/Akred/PT/III/2021,2021,16,2026-03-02,Masih berlaku
303,Universitas Alma Ata,Unggul,2187/SK/BAN-PT/Ak/PT/XII/2024,2024,05,2029-12-11,Masih berlaku
269,Universitas Almarisah Madani,Baik Sekali,2243/SK/BAN-PT/Ak/PT/XII/2024,2024,09,2029-12-15,Masih berlaku
39,Universitas Alwashliyah,Baik,2155/SK/BAN-PT/Ak.S/PT/IV/2025,2025,01,9999-01-01,Masih berlaku
2745,Universitas Amal Ilmiah Yapis Wamena,Baik,1150/SK/BAN-PT/Ak.KP/PT/IX/2022,2022,14,2025-08-22,121 hari lagi kedaluwarsa
2616,Universitas Amikom Purwokerto,B,1672/SK/BAN-PT/Ak.Ppj/PT/X/2022,2022,06,2027-10-11,Masih berlaku
473,Universitas Amikom Yogyakarta,Baik Sekali,2051/SK/BAN-PT/Ak.KP/PT/XI/2024,2024,05,2028-12-29,Masih berlaku
2176,Universitas Amir Hamzah,Baik,423/SK/BAN-PT/Ak.Ppj/PT/VI/2023,2023,01,2028-06-27,Masih berlaku
2907,Universitas An Nuur,Baik,982/SK/BAN-PT/Ak.KP/PT/IX/2022,2022,06,2026-05-21,Masih berlaku
1274,Universitas Anak Bangsa,Baik,1142/SK/BAN-PT/Ak.P/PT/VI/2024,2024,02,2026-06-04,Masih berlaku
1750,Universitas Andalas,Unggul,1120/SK/BAN-PT/Ak.Ppj/PT/XII/2023,2023,PTN,2028-12-05,Masih berlaku
181,Universitas Andi Djemma Palopo,Baik Sekali,72/SK/BAN-PT/Ak.KP/PT/II/2025,2025,09,2029-03-20,Masih berlaku
2036,Universitas Andi Sudirman,Baik Sekali,631/SK/BAN-PT/Ak-PNB/PT/IX/2023,2023,09,2027-11-01,Masih berlaku
1131,Universitas Annuqayah,Baik,1377/SK/BAN-PT/Ak-PNB/PT/VII/2024,2024,07,2027-11-01,Masih berlaku
2241,Universitas Antakusuma,Baik,313/SK/BAN-PT/Ak/PT/IV/2023,2023,11,2028-04-26,Masih berlaku
3118,Universitas Anwar Medika,Baik,325/SK/BAN-PT/Ak-PNB/PT/VII/2022,2022,07,2026-09-21,Masih berlaku
720,Universitas Ary Ginanjar,Baik,1794/SK/BAN-PT/Ak-PNB/PT/IX/2024,2024,03,2028-10-10,Masih berlaku
1839,Universitas Aryasatya Deo Muri,Baik,943/SK/BAN-PT/Ak/PT/XI/2023,2023,15,2028-11-21,Masih berlaku
1465,Universitas Asahan,B,362/SK/BAN-PT/Ak.Ppj/PT/IV/2024,2024,01,2029-04-10,Masih berlaku
2926,Universitas Atma Jaya Makassar,Baik,910/SK/BAN-PT/Ak.KP/PT/IX/2022,2022,09,2026-12-28,Masih berlaku
2224,Universitas Atma Jaya Yogyakarta,Unggul,335/SK/BAN-PT/Ak.KP/PT/V/2023,2023,05,2028-03-28,Masih berlaku
860,Universitas Audi Indonesia,Baik,1651/SK/BAN-PT/Ak.P/PT/VIII/2024,2024,01,2026-08-18,Masih berlaku
3803,Universitas Aufa Royhan,B,11/SK/BAN-PT/Ak-PPJ/PT/I/2021,2021,01,2025-12-30,Masih berlaku
749,Universitas Awal Bros,Baik Sekali,1757/SK/BAN-PT/Ak/PT/IX/2024,2024,17,2029-09-10,Masih berlaku
3992,Universitas Azzahra,Baik,861/SK/BAN-PT/Akred/PT/X/2020,2020,03,2025-10-20,180 hari lagi kedaluwarsa
354,Universitas Baiturrahim,Baik,2184/SK/BAN-PT/Ak-PNB/PT/XII/2024,2024,10,2028-11-08,Masih berlaku
2648,Universitas Baiturrahmah,B,1618/SK/BAN-PT/Ak-PPJ/PT/X/2022,2022,10,2026-12-28,Masih berlaku
1214,Universitas Bakrie,Unggul,1211/SK/BAN-PT/Ak/PT/VI/2024,2024,03,2029-06-25,Masih berlaku
2821,Universitas Bakti Indonesia,Baik,1227/SK/BAN-PT/Ak.KP/PT/IX/2022,2022,07,2025-05-10,17 hari lagi kedaluwarsa
2615,Universitas Bakti Tunas Husada,B,1676/SK/BAN-PT/Ak-PNB/PT/X/2022,2022,04,2025-10-04,164 hari lagi kedaluwarsa
3470,Universitas Bale Bandung,Baik Sekali,626/SK/BAN-PT/Akred/PT/VII/2021,2021,04,2026-07-13,Masih berlaku
1798,Universitas Bali Dwipa,Baik,997/SK/BAN-PT/Ak/PT/XI/2023,2023,08,2028-11-28,Masih berlaku
151,Universitas Bali Internasional,Baik Sekali,107/SK/BAN-PT/Ak/PT/II/2025,2025,08,2030-02-18,Masih berlaku
995,Universitas Baliem Papua,Baik,1545/SK/BAN-PT/Ak-PNB/PT/VIII/2024,2024,14,2029-06-04,Masih berlaku
2294,Universitas Balikpapan,B,235/SK/BAN-PT/Ak.Ppj/PT/III/2023,2023,11,2027-09-13,Masih berlaku
2120,Universitas Banda Naira,Baik,489/SK/BAN-PT/Ak-PNB/PT/VII/2023,2023,12,2025-08-22,121 hari lagi kedaluwarsa
2381,Universitas Bandar Lampung,B,104/SK/BAN-PT/Ak.Ppj/PT/II/2023,2023,02,2028-02-14,Masih berlaku
1914,Universitas Bandung,Baik,852/SK/BAN-PT/Ak-PNB/PT/XI/2023,2023,04,2027-10-11,Masih berlaku
1281,Universitas Bangka Belitung,B,1135/SK/BAN-PT/Ak.Ppj/PT/V/2024,2024,PTN,2029-04-10,Masih berlaku
1872,Universitas Bani Saleh,Baik Sekali,928/SK/BAN-PT/Ak-PNB/PT/XI/2023,2023,04,2026-03-31,Masih berlaku
690,Universitas Banten,Baik,1848/SK/BAN-PT/Ak-PNB/PT/X/2024,2024,04,2027-11-08,Masih berlaku
2632,Universitas Banten Jaya,Baik,1651/SK/BAN-PT/Ak.Ppj/PT/X/2022,2022,04,2027-10-25,Masih berlaku
3213,Universitas Batam,B,96/SK/BAN-PT/Ak-PPJ/PT/II/2022,2022,17,2027-01-27,Masih berlaku
2183,Universitas Batanghari Jambi,Baik Sekali,401/SK/BAN-PT/Ak/PT/VI/2023,2023,10,2028-06-06,Masih berlaku
1144,Universitas Battuta,Baik Sekali,1339/SK/BAN-PT/Ak/PT/VII/2024,2024,01,2029-07-09,Masih berlaku
186,Universitas Baturaja,Baik Sekali,73/SK/BAN-PT/Ak.KP/PT/II/2025,2025,02,2028-05-03,Masih berlaku
3262,Universitas Bengkulu,B,1080/SK/BAN-PT/Ak-PPJ/PT/XII/2021,2021,PTN,2026-12-28,Masih berlaku
2125,Universitas Bestari,Baik,486/SK/BAN-PT/Ak-PNB/PT/VII/2023,2023,04,2026-06-02,Masih berlaku
577,Universitas Bhakti Asih Tangerang,Baik,1953/SK/BAN-PT/Ak-PNB/PT/X/2024,2024,04,2025-10-21,Masih berlaku
43,Universitas Bhakti Kencana,Baik,2152/SK/BAN-PT/Ak.S/PT/IV/2025,2025,04,9999-01-01,Masih berlaku
1317,Universitas Bhamada Slawi,Baik Sekali,1086/SK/BAN-PT/Ak/PT/V/2024,2024,06,2029-05-21,Masih berlaku
53,Universitas Bhayangkara Jakarta Raya,Unggul,2113/SK/BAN-PT/Ak/PT/IV/2025,2025,03,2030-04-14,Masih berlaku
4079,Universitas Bhayangkara Surabaya,B,249/SK/BAN-PT/Ak-PPJ/PT/V/2020,2020,07,2025-05-16,23 hari lagi kedaluwarsa
3519,Universitas Bhinneka PGRI,B,549/SK/BAN-PT/Ak-PPJ/PT/VI/2021,2021,07,2026-06-11,Masih berlaku
3927,Universitas Billfath,Baik,1008/SK/BAN-PT/Akred/PT/XII/2020,2020,07,2025-12-01,Masih berlaku
3394,Universitas Bina Bangsa,Baik,774/SK/BAN-PT/Akred/PT/VIII/2021,2021,04,2026-08-25,Masih berlaku
112,Universitas Bina Bangsa Getsempena,Baik Sekali,2055/SK/BAN-PT/Ak.KP/PT/III/2025,2025,13,2025-10-06,166 hari lagi kedaluwarsa
3418,Universitas Bina Darma,B,720/SK/BAN-PT/Ak-PPJ/PT/VIII/2021,2021,02,2026-08-05,Masih berlaku
24,Universitas Bina Insan,Baik,2129/SK/BAN-PT/Ak.Ppj/PT/IV/2025,2025,02,2030-04-12,Masih berlaku
1860,Universitas Bina Insani,B,968/SK/BAN-PT/Ak.Ppj/PT/XI/2023,2023,04,2028-12-06,Masih berlaku
2933,Universitas Bina Mandiri Gorontalo,Baik,1065/SK/BAN-PT/Ak.KP/PT/IX/2022,2022,16,2026-12-28,Masih berlaku
3142,Universitas Bina Nusantara,Unggul,289/SK/BAN-PT/AK-ISK/PT/VI/2022,2022,03,2026-12-21,Masih berlaku
3179,Universitas Bina Sarana Informatika,B,158/SK/BAN-PT/Ak-PPJ/PT/IV/2022,2022,03,2027-05-10,Masih berlaku
1122,Universitas Bina Sehat PPNI Mojokerto,Baik,1371/SK/BAN-PT/Ak-PNB/PT/VII/2024,2024,07,2028-11-02,Masih berlaku
2908,Universitas Bina Taruna Gorontalo,Baik,1000/SK/BAN-PT/Ak.KP/PT/IX/2022,2022,16,2026-05-21,Masih berlaku
2919,Universitas Binaniaga Indonesia,Baik,1082/SK/BAN-PT/Ak.KP/PT/IX/2022,2022,04,2025-12-20,Masih berlaku
2433,Universitas Binawan,Baik Sekali,1973/SK/BAN-PT/Ak/PT/XI/2022,2022,03,2027-11-30,Masih berlaku
2678,Universitas Bojonegoro,Baik,1565/SK/BAN-PT/Ak.Ppj/PT/IX/2022,2022,07,2027-10-11,Masih berlaku
2214,Universitas Bondowoso,Baik,354/SK/BAN-PT/Ak.Ppj/PT/V/2023,2023,07,2027-10-11,Masih berlaku
1367,Universitas Borneo Lestari,Baik,502/SK/BAN-PT/Ak-PNB/PT/V/2024,2024,11,2025-12-15,Masih berlaku
116,Universitas Borneo Tarakan,Baik Sekali,2063/SK/BAN-PT/Ak.KP/PT/III/2025,2025,PTN,2028-12-06,Masih berlaku
406,Universitas Borobudur,Unggul,2101/SK/BAN-PT/Ak/PT/XI/2024,2024,03,2029-11-19,Masih berlaku
3854,Universitas Bosowa,Baik Sekali,1083/SK/BAN-PT/Akred/PT/XII/2020,2020,09,2025-12-15,Masih berlaku
1656,Universitas Boyolali,Baik,1241/SK/BAN-PT/PEPA-Ppj/PT/XII/2023,2023,06,2028-12-29,Masih berlaku
1864,Universitas Brawijaya,Unggul,957/SK/BAN-PT/Ak.Ppj/PT/XI/2023,2023,PTN,2028-12-05,Masih berlaku
1969,Universitas Buana Perjuangan Karawang,Baik Sekali,764/SK/BAN-PT/Ak/PT/X/2023,2023,04,2028-10-17,Masih berlaku
2660,Universitas Buddhi Dharma,Baik,1603/SK/BAN-PT/Ak.Ppj/PT/X/2022,2022,04,2027-10-18,Masih berlaku
1974,Universitas Budi Darma,Baik,788/SK/BAN-PT/Ak.Ppj/PT/X/2023,2023,01,2028-10-31,Masih berlaku
421,Universitas Budi Luhur,Unggul,2099/SK/BAN-PT/Ak/PT/XI/2024,2024,03,2029-11-12,Masih berlaku
3220,Universitas Bumi Hijrah Tidore,Baik,74/SK/BAN-PT/Akred/PT/II/2022,2022,12,2027-02-15,Masih berlaku
2192,Universitas Bumi Persada,Baik,387/SK/BAN-PT/Ak-PNB/PT/V/2023,2023,13,2026-07-13,Masih berlaku
2330,Universitas Bumigora,Baik Sekali,155/SK/BAN-PT/Ak/PT/III/2023,2023,08,2028-03-07,Masih berlaku
1511,Universitas Bunda Mulia,Unggul,268/SK/BAN-PT/Ak/PT/III/2024,2024,03,2029-03-19,Masih berlaku
2044,Universitas Bung Hatta,Baik Sekali,612/SK/BAN-PT/Ak.KP/PT/IX/2023,2023,10,2027-01-20,Masih berlaku
2293,Universitas Bung Karno,B,236/SK/BAN-PT/Ak.Ppj/PT/III/2023,2023,03,2027-10-11,Masih berlaku
1980,Universitas Cahaya Bangsa,Baik,712/SK/BAN-PT/Ak/PT/X/2023,2023,11,2028-10-10,Masih berlaku
777,Universitas Cahaya Prima,Baik Sekali,1718/SK/BAN-PT/Ak-PNB/PT/VIII/2024,2024,09,2028-08-16,Masih berlaku
454,Universitas Caritas Indonesia,Baik,2073/SK/BAN-PT/Ak.P/PT/XI/2024,2024,14,2026-11-12,Masih berlaku
1020,Universitas Catur Insan Cendekia,Baik,1498/SK/BAN-PT/Ak.P/PT/VIII/2024,2024,04,2026-08-13,Masih berlaku
629,Universitas Cendekia Mitra Indonesia,Baik,1912/SK/BAN-PT/Ak.P/PT/X/2024,2024,05,2026-10-15,Masih berlaku
4055,Universitas Cenderawasih,B,440/SK/BAN-PT/Ak-PPJ/PT/VII/2020,2020,PTN,2025-07-05,73 hari lagi kedaluwarsa
3112,Universitas Cipasung Tasikmalaya,Baik,336/SK/BAN-PT/Ak-PNB/PT/VII/2022,2022,04,2026-05-21,Masih berlaku
317,Universitas Cipta Mandiri,Baik,2224/SK/BAN-PT/Ak-PNB/PT/XII/2024,2024,13,2028-08-08,Masih berlaku
2161,Universitas Ciputra Surabaya,Unggul,430/SK/BAN-PT/Ak.KP/PT/VI/2023,2023,07,2027-10-11,Masih berlaku
1765,Universitas Citra Bangsa,Baik Sekali,1065/SK/BAN-PT/Ak/PT/XII/2023,2023,15,2028-12-05,Masih berlaku
1331,Universitas Cokroaminoto Makassar,Baik,1049/SK/BAN-PT/Ak.S/PT/V/2024,2024,09,9999-01-01,Masih berlaku
2049,Universitas Cokroaminoto Palopo,Baik Sekali,607/SK/BAN-PT/Ak.KP/PT/IX/2023,2023,09,2025-06-28,66 hari lagi kedaluwarsa
2337,Universitas Cokroaminoto Yogyakarta,Baik Sekali,149/SK/BAN-PT/Ak-PNB/PT/III/2023,2023,05,2027-12-06,Masih berlaku
3680,Universitas Cordova,Baik,265/SK/BAN-PT/Akred/PT/III/2021,2021,08,2026-03-30,Masih berlaku
819,Universitas Darma Agung,Baik,1681/SK/BAN-PT/Ak.B/PT/VIII/2024,2024,01,2026-08-19,Masih berlaku
